Time [ns],V(U1B5_M_DQ_0__B2) [V]
1.226095161,0.19838802
1.229511936,0.211928555
1.232928711,0.225559076
1.236345485,0.239228368
1.23976226,0.252893741
1.243179034,0.26652514
1.246595809,0.280104143
1.250904618,0.297141028
1.255213428,0.314072695
1.259522238,0.330886969
1.263831047,0.347566131
1.268139857,0.364085334
1.272448666,0.380414979
1.276757476,0.396521761
1.281066285,0.412370735
1.285375095,0.427929596
1.290667359,0.446606025
1.295959622,0.464784551
1.301251886,0.482464348
1.30654415,0.499653923
1.311836414,0.516365586
1.317128678,0.532607519
1.322420942,0.548379649
1.327713206,0.563676314
1.33300547,0.578487031
1.338297733,0.592798176
1.343589997,0.606595666
1.348882261,0.619863172
1.354174525,0.632580649
1.359466789,0.644726902
1.364759053,0.656287794
1.370051317,0.66725419
1.375343581,0.677624397
1.380635844,0.687400046
1.385928108,0.696590349
1.391110866,0.705038727
1.396293623,0.712952901
1.40147638,0.72034522
1.4064,0.726899273
1.40643488,0.726944081
1.406469761,0.726988867
1.407493551,0.72828428
1.408517342,0.729560839
1.410564922,0.732066386
1.414221544,0.736363571
1.419269809,0.741903973
1.425410767,0.748018639
1.431551725,0.753427921
1.437692683,0.758118492
1.443833641,0.762081235
1.445922776,0.763262585
1.447064634,0.762682122
1.447944018,0.761908572
1.44858672,0.761265196
1.449229422,0.760598428
1.450074236,0.759709115
1.450919051,0.758813409
1.452240521,0.757405831
1.45422336,0.755289753
1.4564,0.752973646
1.45643488,0.752936632
1.456469761,0.752899622
1.457493551,0.751817296
1.458517342,0.750738542
1.460564922,0.748588468
1.464623137,0.744345854
1.469554277,0.739187626
1.474485416,0.733988636
1.479416555,0.72873316
1.484347695,0.723431403
1.489278834,0.718112764
1.494209973,0.712818062
1.499141113,0.7075953
1.505081319,0.701469486
1.511021526,0.695591666
1.516961733,0.690010103
1.522901939,0.684753442
1.528842146,0.679831555
1.534782353,0.675240254
1.540722559,0.670963798
1.546662766,0.666967735
1.552602973,0.663202692
1.558543179,0.659602399
1.564483386,0.656086796
1.570423593,0.652562424
1.576363799,0.64891741
1.582304006,0.645005299
1.588244213,0.64064067
1.594184419,0.635592635
1.600124626,0.629586835
1.606064833,0.622308834
1.612005039,0.613415036
1.617945246,0.602544108
1.62373126,0.589700621
1.629517273,0.574280736
1.635303287,0.555996618
1.6408,0.535842459
1.64203627,0.530862698
1.64327254,0.525747742
1.645745079,0.515187239
1.649737503,0.497132238
1.655412805,0.46941625
1.661088106,0.439663919
1.666763408,0.408404057
1.67243871,0.376201469
1.677087138,0.349507171
1.679226092,0.337208218
1.679982984,0.332861013
1.680590987,0.329372843
1.680697207,0.328763869
1.680757339,0.328419187
1.680785559,0.328257439
1.680797423,0.328189447
1.680799987,0.328174752
1.680801379,0.328166302
1.680802772,0.32815771
1.680804164,0.328149077
1.680805556,0.328140436
1.680807592,0.328127801
1.680811627,0.328102767
1.680815661,0.328077731
1.680819695,0.328052686
1.68082373,0.328027626
1.6808286,0.327997347
1.680834694,0.327959405
1.680840788,0.327921396
1.680848332,0.327874251
1.680855876,0.327827004
1.680865494,0.327766636
1.680875112,0.327706151
1.680886732,0.327632969
1.680900906,0.327543613
1.680919337,0.327427412
1.680941798,0.327285986
1.680968966,0.327115426
1.680996135,0.326945603
1.681023304,0.32677663
1.681056152,0.326573535
1.681096342,0.326326834
1.681136531,0.326081935
1.68117672,0.325838553
1.681233022,0.325499431
1.681299893,0.32509828
1.681366763,0.324697952
1.681433633,0.324298142
1.681500503,0.32389914
1.681567374,0.323501507
1.681660072,0.322953329
1.681752771,0.32240863
1.681845469,0.321866475
1.681963532,0.321177931
1.682081594,0.320490714
1.682199657,0.319805153
1.682358792,0.318884724
1.682517926,0.317968205
1.682677061,0.317054319
1.682877522,0.315905677
1.683077983,0.314760055
1.683447349,0.31265719
1.683816715,0.310562689
1.684322151,0.307707688
1.684827587,0.304864414
1.685593094,0.300577624
1.686907587,0.293263879
1.688227049,0.285975777
1.689546511,0.278736668
1.6908,0.271903691
1.69203627,0.265229042
1.69327254,0.258602749
1.695745079,0.245484378
1.6987353,0.229921039
1.701725521,0.214752076
1.704715742,0.200025551
1.707705962,0.185774796
1.710696183,0.172020582
1.713686404,0.158774616
1.716676625,0.146040789
1.720496182,0.130510826
1.724315739,0.115782042
1.728135296,0.101819096
1.731954853,0.088576103
1.736658348,0.073180563
1.741361844,0.058715912
1.746065339,0.045123181
1.750768834,0.032366093
1.75547233,0.020423953
1.760175825,0.009275317
1.76487932,-0.001112586
1.769582816,-0.010784246
1.774286311,-0.019790343
1.778989807,-0.028179642
1.783693302,-0.035993565
1.789555756,-0.044973776
1.79541821,-0.053154969
1.801280663,-0.060583403
1.807143117,-0.067314663
1.813005571,-0.073416391
1.818868025,-0.078957362
1.824730478,-0.083996021
1.830592932,-0.088579714
1.836455386,-0.092749848
1.84231784,-0.096547929
1.848180293,-0.100020425
1.854042747,-0.103220174
1.859399014,-0.105950466
1.86475528,-0.108533321
1.870111547,-0.1109916
1.8752,-0.113223805
1.875246507,-0.113243757
1.875293015,-0.113263699
1.876529284,-0.113788192
1.877765554,-0.114307399
1.880238094,-0.115333488
1.88470412,-0.117141548
1.890438816,-0.119372307
1.896173512,-0.121488935
1.901908208,-0.123474533
1.907642904,-0.125294211
1.9133776,-0.126885471
1.914984861,-0.127282534
1.915424401,-0.127367389
1.915591563,-0.127397444
1.915716343,-0.127420309
1.915841124,-0.12744431
1.915965904,-0.12746955
1.916090684,-0.12749581
1.916271064,-0.127534974
1.9164912,-0.127583773
1.916788803,-0.127650521
1.917201361,-0.127743574
1.917783127,-0.127873577
1.918684168,-0.128067769
1.919893428,-0.128309354
1.92161791,-0.128607588
1.923454879,-0.128857996
1.9252,-0.129028278
1.925246507,-0.129031876
1.925293015,-0.129035427
1.926529284,-0.129098369
1.927765554,-0.129131296
1.930238094,-0.129126365
1.933758464,-0.128952567
1.937278833,-0.128586792
1.940799203,-0.128031008
1.944319573,-0.12727633
1.948984714,-0.125939899
1.953649854,-0.124193066
1.958314995,-0.122032063
1.962980136,-0.119485095
1.967645276,-0.116603819
1.972310417,-0.113447814
1.976975558,-0.110072374
1.981640698,-0.106523658
1.987294242,-0.102054436
1.992947786,-0.097483138
1.99860133,-0.092899858
2.004254874,-0.088383803
2.009908418,-0.083990572
2.015561962,-0.079737485
2.021215506,-0.075600652
2.02686905,-0.071533991
2.032522594,-0.067490742
2.038176138,-0.063436064
2.043829682,-0.059349207
2.049483226,-0.055219421
2.05513677,-0.051042684
2.060790314,-0.046819752
2.066443858,-0.042557593
2.072097402,-0.038274294
2.077750945,-0.034003218
2.083404489,-0.029787521
2.089058033,-0.025661331
2.094258531,-0.021957351
2.099459029,-0.018334514
2.104659527,-0.014768797
2.1096,-0.011401116
2.11083627,-0.010558117
2.11207254,-0.009712873
2.114545079,-0.008016396
2.11868154,-0.00515197
2.123969916,-0.001426592
2.129258292,0.002381805
2.134546668,0.006280085
2.139835044,0.010269012
2.144838831,0.014119331
2.147832003,0.016452416
2.148961834,0.017337896
2.149555421,0.017804001
2.149855115,0.018093835
2.150012062,0.01825071
2.150169009,0.018403701
2.150325955,0.018550843
2.150482902,0.018693287
2.150639849,0.018832465
2.150796796,0.018968945
2.151044119,0.019179137
2.151291441,0.019384811
2.151677524,0.019700047
2.152063607,0.02001
2.152729414,0.020535762
2.153659632,0.021258874
2.154838055,0.022164243
2.156452274,0.023396954
2.158066492,0.024630629
2.1596,0.0258086
2.16083627,0.026766035
2.16207254,0.02772691
2.164545079,0.029651675
2.168354865,0.032601212
2.17216465,0.035494153
2.175974436,0.038296354
2.179784221,0.040985299
2.183594007,0.043547721
2.188298138,0.046526949
2.193002269,0.049300587
2.1977064,0.051878751
2.202410531,0.054287782
2.207114662,0.056559437
2.211818793,0.058723519
2.216522924,0.060799326
2.221227054,0.062795707
2.225931185,0.064713718
2.230635316,0.066550736
2.235339447,0.068307382
2.241137443,0.070369116
2.246935439,0.072329852
2.252733435,0.074200903
2.258531431,0.075987173
2.264329427,0.077686858
2.270127423,0.079296325
2.275925419,0.080815118
2.281723415,0.082247936
2.287521411,0.083603599
2.293319407,0.084891204
2.299117403,0.086115097
2.304915399,0.08727378
2.310713395,0.088359786
2.316511391,0.089359588
2.322309387,0.090254054
2.327800681,0.090987844
2.333291976,0.091598272
2.33878327,0.092074614
2.344,0.09239626
2.344058134,0.092399105
2.344116268,0.092401934
2.345352538,0.09245454
2.346588808,0.092499975
2.349061347,0.092573176
2.353563432,0.092639548
2.359549141,0.092586035
2.365534851,0.092362877
2.37152056,0.091961423
2.377211557,0.091400434
2.382902555,0.090647802
2.38397266,0.090483872
2.384196371,0.090315953
2.384295644,0.090235987
2.384357747,0.090187605
2.384406299,0.090151936
2.384454851,0.09011862
2.384503402,0.090087577
2.384551954,0.090058461
2.384619088,0.090020619
2.384714348,0.089970434
2.384809607,0.089923607
2.384904867,0.089880101
2.385050846,0.089820137
2.385196825,0.089767382
2.385342804,0.089719903
2.385562206,0.089655361
2.385781609,0.089597831
2.386123921,0.089520045
2.386466234,0.089452739
2.38693356,0.089372263
2.387400885,0.08930164
2.38809127,0.089209283
2.389207132,0.089075066
2.390420516,0.088932115
2.3916339,0.088776698
2.392847285,0.088597622
2.394,0.088399088
2.394058134,0.088388243
2.394116268,0.088377316
2.395352538,0.088108643
2.396588808,0.08780522
2.399061347,0.087118485
2.401533887,0.08633017
2.404006427,0.08545351
